COVID-19 People Fully Vaccinated from 22/Jan/2020 to 16/May/2022
People received vaccine (count)
Source: Our World in Data - https://ourworldindata.org/covid-deaths

1
2021-01-03,Latvia,dummy,2.0,Europe
2021-01-03,Slovenia,dummy,1.0,Europe
2021-01-03,Switzerland,dummy,13.0,Europe
2021-01-03,United States,dummy,55191.0,North America

15
2021-01-04,Argentina,dummy,18.0,South America
2021-01-04,Belgium,dummy,50.0,Europe
2021-01-04,Canada,dummy,3.0,North America
2021-01-04,Czechia,dummy,2.0,Europe
2021-01-04,Denmark,dummy,1.0,Europe
2021-01-04,Estonia,dummy,93.0,Europe
2021-01-04,France,dummy,7.0,Europe
2021-01-04,Germany,dummy,22.0,Europe
2021-01-04,Ireland,dummy,29.0,Europe
2021-01-04,Israel,dummy,7.0,Asia
2021-01-04,Italy,dummy,9.0,Europe
2021-01-04,Latvia,dummy,3.0,Europe
2021-01-04,Slovenia,dummy,1.0,Europe
2021-01-04,Switzerland,dummy,14.0,Europe
2021-01-04,United States,dummy,100292.0,North America

16
2021-01-05,Argentina,dummy,21.0,South America
2021-01-05,Belgium,dummy,79.0,Europe
2021-01-05,Canada,dummy,6.0,North America
2021-01-05,Czechia,dummy,3.0,Europe
2021-01-05,Denmark,dummy,1.0,Europe
2021-01-05,Estonia,dummy,128.0,Europe
2021-01-05,France,dummy,9.0,Europe
2021-01-05,Germany,dummy,22.0,Europe
2021-01-05,Ireland,dummy,39.0,Europe
2021-01-05,Israel,dummy,10.0,Asia
2021-01-05,Italy,dummy,11.0,Europe
2021-01-05,Latvia,dummy,3.0,Europe
2021-01-05,Singapore,dummy,2.0,Asia
2021-01-05,Slovenia,dummy,1.0,Europe
2021-01-05,Switzerland,dummy,25.0,Europe
2021-01-05,United States,dummy,187956.0,North America

17
2021-01-06,Argentina,dummy,21.0,South America
2021-01-06,Belgium,dummy,108.0,Europe
2021-01-06,Canada,dummy,448.0,North America
2021-01-06,Czechia,dummy,4.0,Europe
2021-01-06,Denmark,dummy,1.0,Europe
2021-01-06,Estonia,dummy,156.0,Europe
2021-01-06,France,dummy,18.0,Europe
2021-01-06,Germany,dummy,22.0,Europe
2021-01-06,Ireland,dummy,47.0,Europe
2021-01-06,Israel,dummy,12.0,Asia
2021-01-06,Italy,dummy,13.0,Europe
2021-01-06,Latvia,dummy,6.0,Europe
2021-01-06,Norway,dummy,12.0,Europe
2021-01-06,Singapore,dummy,4.0,Asia
2021-01-06,Slovenia,dummy,2.0,Europe
2021-01-06,Switzerland,dummy,32.0,Europe
2021-01-06,United States,dummy,360896.0,North America

17
2021-01-07,Argentina,dummy,23.0,South America
2021-01-07,Belgium,dummy,129.0,Europe
2021-01-07,Canada,dummy,1425.0,North America
2021-01-07,Czechia,dummy,4.0,Europe
2021-01-07,Denmark,dummy,1.0,Europe
2021-01-07,Estonia,dummy,179.0,Europe
2021-01-07,France,dummy,27.0,Europe
2021-01-07,Germany,dummy,23.0,Europe
2021-01-07,Ireland,dummy,55.0,Europe
2021-01-07,Israel,dummy,21.0,Asia
2021-01-07,Italy,dummy,15.0,Europe
2021-01-07,Latvia,dummy,6.0,Europe
2021-01-07,Norway,dummy,14.0,Europe
2021-01-07,Singapore,dummy,6.0,Asia
2021-01-07,Slovenia,dummy,2.0,Europe
2021-01-07,Switzerland,dummy,47.0,Europe
2021-01-07,United States,dummy,642327.0,North America

18
2021-01-08,Argentina,dummy,29.0,South America
2021-01-08,Belgium,dummy,182.0,Europe
2021-01-08,Canada,dummy,2698.0,North America
2021-01-08,Czechia,dummy,5.0,Europe
2021-01-08,Denmark,dummy,2.0,Europe
2021-01-08,Estonia,dummy,220.0,Europe
2021-01-08,France,dummy,35.0,Europe
2021-01-08,Germany,dummy,23.0,Europe
2021-01-08,Ireland,dummy,60.0,Europe
2021-01-08,Israel,dummy,25.0,Asia
2021-01-08,Italy,dummy,15.0,Europe
2021-01-08,Latvia,dummy,10.0,Europe
2021-01-08,Norway,dummy,24.0,Europe
2021-01-08,Portugal,dummy,172.0,Europe
2021-01-08,Singapore,dummy,9.0,Asia
2021-01-08,Slovenia,dummy,3.0,Europe
2021-01-08,Switzerland,dummy,65.0,Europe
2021-01-08,United States,dummy,1006243.0,North America

17
2021-01-09,Argentina,dummy,30.0,South America
2021-01-09,Belgium,dummy,201.0,Europe
2021-01-09,Canada,dummy,3941.0,North America
2021-01-09,Czechia,dummy,7.0,Europe
2021-01-09,Denmark,dummy,4.0,Europe
2021-01-09,Estonia,dummy,231.0,Europe
2021-01-09,France,dummy,39.0,Europe
2021-01-09,Germany,dummy,23.0,Europe
2021-01-09,Ireland,dummy,67.0,Europe
2021-01-09,Israel,dummy,49.0,Asia
2021-01-09,Italy,dummy,15.0,Europe
2021-01-09,Latvia,dummy,10.0,Europe
2021-01-09,Norway,dummy,26.0,Europe
2021-01-09,Singapore,dummy,11.0,Asia
2021-01-09,Slovenia,dummy,3.0,Europe
2021-01-09,Switzerland,dummy,70.0,Europe
2021-01-09,United States,dummy,1135175.0,North America

19
2021-01-10,Argentina,dummy,30.0,South America
2021-01-10,Belgium,dummy,203.0,Europe
2021-01-10,Canada,dummy,3962.0,North America
2021-01-10,Czechia,dummy,9.0,Europe
2021-01-10,Denmark,dummy,4.0,Europe
2021-01-10,Estonia,dummy,232.0,Europe
2021-01-10,France,dummy,42.0,Europe
2021-01-10,Germany,dummy,24.0,Europe
2021-01-10,Ireland,dummy,72.0,Europe
2021-01-10,Israel,dummy,6048.0,Asia
2021-01-10,Italy,dummy,15.0,Europe
2021-01-10,Latvia,dummy,11.0,Europe
2021-01-10,Norway,dummy,32.0,Europe
2021-01-10,Singapore,dummy,11.0,Asia
2021-01-10,Slovenia,dummy,3.0,Europe
2021-01-10,Switzerland,dummy,71.0,Europe
2021-01-10,United Arab Emirates,dummy,250000.0,Asia
2021-01-10,United Kingdom,dummy,391399.0,Europe
